N 1000, num thread 1, exec time 0.000002s, function f1 
N 1000, num thread 2, exec time 0.000025s, function f1 
N 1000, num thread 3, exec time 0.000042s, function f1 
N 1000, num thread 4, exec time 0.000055s, function f1 
N 1000, num thread 5, exec time 0.000084s, function f1 
N 1000, num thread 6, exec time 0.000072s, function f1 
N 1000, num thread 7, exec time 0.000089s, function f1 
N 1000, num thread 8, exec time 0.000094s, function f1 
N 1000, num thread 9, exec time 0.000105s, function f1 
N 1000, num thread 10, exec time 0.000129s, function f1 
N 1000, num thread 11, exec time 0.000123s, function f1 
N 1000, num thread 12, exec time 0.000169s, function f1 
N 1000, num thread 13, exec time 0.000171s, function f1 
N 1000, num thread 14, exec time 0.000192s, function f1 
N 1000, num thread 15, exec time 0.000160s, function f1 
N 1000, num thread 16, exec time 0.000193s, function f1 
N 100000, num thread 1, exec time 0.000028s, function f1 
N 100000, num thread 2, exec time 0.000046s, function f1 
N 100000, num thread 3, exec time 0.000045s, function f1 
N 100000, num thread 4, exec time 0.000071s, function f1 
N 100000, num thread 5, exec time 0.000078s, function f1 
N 100000, num thread 6, exec time 0.000104s, function f1 
N 100000, num thread 7, exec time 0.000114s, function f1 
N 100000, num thread 8, exec time 0.000127s, function f1 
N 100000, num thread 9, exec time 0.000103s, function f1 
N 100000, num thread 10, exec time 0.000116s, function f1 
N 100000, num thread 11, exec time 0.000139s, function f1 
N 100000, num thread 12, exec time 0.000136s, function f1 
N 100000, num thread 13, exec time 0.000148s, function f1 
N 100000, num thread 14, exec time 0.000212s, function f1 
N 100000, num thread 15, exec time 0.000232s, function f1 
N 100000, num thread 16, exec time 0.000277s, function f1 
N 10000000, num thread 1, exec time 0.003548s, function f1 
N 10000000, num thread 2, exec time 0.001998s, function f1 
N 10000000, num thread 3, exec time 0.001550s, function f1 
N 10000000, num thread 4, exec time 0.001327s, function f1 
N 10000000, num thread 5, exec time 0.001254s, function f1 
N 10000000, num thread 6, exec time 0.001140s, function f1 
N 10000000, num thread 7, exec time 0.001275s, function f1 
N 10000000, num thread 8, exec time 0.001151s, function f1 
N 10000000, num thread 9, exec time 0.001162s, function f1 
N 10000000, num thread 10, exec time 0.001091s, function f1 
N 10000000, num thread 11, exec time 0.001157s, function f1 
N 10000000, num thread 12, exec time 0.001101s, function f1 
N 10000000, num thread 13, exec time 0.001206s, function f1 
N 10000000, num thread 14, exec time 0.001083s, function f1 
N 10000000, num thread 15, exec time 0.001088s, function f1 
N 10000000, num thread 16, exec time 0.001115s, function f1 
N 100000000, num thread 1, exec time 0.036330s, function f1 
N 100000000, num thread 2, exec time 0.020941s, function f1 
N 100000000, num thread 3, exec time 0.017172s, function f1 
N 100000000, num thread 4, exec time 0.016825s, function f1 
N 100000000, num thread 5, exec time 0.016513s, function f1 
N 100000000, num thread 6, exec time 0.016790s, function f1 
N 100000000, num thread 7, exec time 0.016329s, function f1 
N 100000000, num thread 8, exec time 0.016288s, function f1 
N 100000000, num thread 9, exec time 0.016912s, function f1 
N 100000000, num thread 10, exec time 0.016140s, function f1 
N 100000000, num thread 11, exec time 0.015988s, function f1 
N 100000000, num thread 12, exec time 0.016026s, function f1 
N 100000000, num thread 13, exec time 0.015902s, function f1 
N 100000000, num thread 14, exec time 0.015885s, function f1 
N 100000000, num thread 15, exec time 0.016478s, function f1 
N 100000000, num thread 16, exec time 0.015938s, function f1 
